Album,Release Date,Explicit,Song Title
Fearless (Taylor's Version),2021-04-09,False,Come In With The Rain (Taylor’s Version)
Fearless (Taylor's Version),2021-04-09,False,Superstar (Taylor’s Version)
Fearless (Taylor's Version),2021-04-09,False,The Other Side Of The Door (Taylor’s Version)
Fearless (Taylor's Version),2021-04-09,False,Today Was A Fairytale (Taylor’s Version)
Fearless (Taylor's Version),2021-04-09,False,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault)
Fearless (Taylor's Version),2021-04-09,False,Mr. Perfectly Fine (Taylor’s Version) (From The Vault)
Fearless (Taylor's Version),2021-04-09,False,We Were Happy (Taylor’s Version) (From The Vault)
Fearless (Taylor's Version),2021-04-09,False,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault)
Fearless (Taylor's Version),2021-04-09,False,Don’t You (Taylor’s Version) (From The Vault)
Fearless (Taylor's Version),2021-04-09,False,Bye Bye Baby (Taylor’s Version) (From The Vault)
Red (Taylor's Version),2021-11-12,False,State Of Grace (Taylor's Version)
Red (Taylor's Version),2021-11-12,False,Red (Taylor's Version)
Red (Taylor's Version),2021-11-12,False,Treacherous (Taylor's Version)
Red (Taylor's Version),2021-11-12,False,I Knew You Were Trouble (Taylor's Version)
Red (Taylor's Version),2021-11-12,False,All Too Well (Taylor's Version)
Red (Taylor's Version),2021-11-12,False,22 (Taylor's Version)
Red (Taylor's Version),2021-11-12,False,I Almost Do (Taylor's Version)
Red (Taylor's Version),2021-11-12,False,We Are Never Ever Getting Back Together (Taylor's Version)
Red (Taylor's Version),2021-11-12,False,Stay Stay Stay (Taylor's Version)
Red (Taylor's Version),2021-11-12,False,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version)
Red (Taylor's Version),2021-11-12,False,Holy Ground (Taylor's Version)
Red (Taylor's Version),2021-11-12,False,Sad Beautiful Tragic (Taylor's Version)
Red (Taylor's Version),2021-11-12,False,The Lucky One (Taylor's Version)
Red (Taylor's Version),2021-11-12,False,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version)
Red (Taylor's Version),2021-11-12,False,Starlight (Taylor's Version)
Red (Taylor's Version),2021-11-12,False,Begin Again (Taylor's Version)
Red (Taylor's Version),2021-11-12,False,The Moment I Knew (Taylor's Version)
Red (Taylor's Version),2021-11-12,False,Come Back...Be Here (Taylor's Version)
Red (Taylor's Version),2021-11-12,False,Girl At Home (Taylor's Version)
Red (Taylor's Version),2021-11-12,False,State Of Grace (Acoustic Version) (Taylor's Version)
Red (Taylor's Version),2021-11-12,False,Ronan (Taylor's Version)
Red (Taylor's Version),2021-11-12,False,Better Man (Taylor's Version) (From The Vault)
Red (Taylor's Version),2021-11-12,False,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault)
Red (Taylor's Version),2021-11-12,False,Babe (Taylor's Version) (From The Vault)
Red (Taylor's Version),2021-11-12,False,Message In A Bottle (Taylor's Version) (From The Vault)
